TIME,AIRLINE,FLIGHT_NUMBER,TRANSACTION,TERMINAL,GATE,REMARK,data_as_of,data_loaded_at
2025/07/20 05:46:00 PM,Alaska,AS269,DEP,1,B12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 10:27:00 PM,Alaska,AS1429,ARR,I,B2,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 11:59:00 AM,United,UA5572,ARR,3,F9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 10:51:00 AM,Alaska,AS3333,DEP,1,B13,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 01:43:00 PM,United,UA58,DEP,I,G12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 07:20:00 AM,United,UA4725,ARR,3,F8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 12:13:00 PM,Alaska,AS3450,ARR,1,B13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 02:48:00 PM,United,UA2216,ARR,2,D15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 06:33:00 AM,United,UA870,ARR,I,G5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 12:16:00 AM,Cathay Pacific,CX851,DEP,I,A10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 09:12:00 AM,Frontier,F91191,ARR,I,A13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 07:22:00 PM,Alaska,AS3460,DEP,1,C1,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 10:01:00 AM,DELTA,DL693,ARR,1,C3,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 03:46:00 PM,Frontier,F93393,ARR,I,A15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 11:52:00 AM,Frontier,F93308,DEP,I,B5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 10:04:00 PM,Alaska,AS7,ARR,1,B17,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 06:49:00 PM,Southwest,WN2333,ARR,2,D7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 10:59:00 AM,Alaska,AS1368,DEP,1,B12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 12:55:00 PM,United,UA5882,ARR,3,F8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 11:58:00 PM,United,UA1007,ARR,3,F17,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 05:35:00 AM,American,AA3082,DEP,1,B27,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 08:34:00 PM,Alaska,AS525,DEP,1,B7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 04:15:00 PM,United,UA5504,ARR,3,F7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 07:34:00 PM,Alaska,AS1295,ARR,1,B14,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 11:23:00 PM,United,UA1369,DEP,3,E2,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 07:23:00 PM,Southwest,WN3447,ARR,2,D7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 09:31:00 PM,United,UA2340,ARR,3,E8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 09:58:00 PM,DELTA,DL681,ARR,1,C4,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 02:34:00 PM,United,UA4729,ARR,3,F7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 12:17:00 PM,United,UA795,ARR,3,E10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 02:09:00 AM,United,UA2046,DEP,3,E5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 12:28:00 AM,United,UA367,ARR,3,E12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
